game_pk,game_date,away_team,home_team,venue,status,total_runs,total_strikeouts,total_home_runs,duration_min,attendance,note,error
824504,2026-06-16,New York Mets,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
824505,2026-06-15,New York Mets,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
824506,2026-06-14,Arizona Diamondbacks,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
824507,2026-06-12,Arizona Diamondbacks,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
824508,2026-06-13,Arizona Diamondbacks,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
824586,2026-06-14,Los Angeles Dodgers,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824587,2026-06-13,Los Angeles Dodgers,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824588,2026-06-12,Los Angeles Dodgers,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824589,2026-06-11,Atlanta Braves,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824590,2026-06-10,Atlanta Braves,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824591,2026-06-09,Atlanta Braves,Chicago White Sox,Rate Field,pending,,,,,,Scheduled,
824666,2026-06-15,Colorado Rockies,Chicago Cubs,Wrigley Field,pending,,,,,,Scheduled,
824667,2026-06-16,Colorado Rockies,Chicago Cubs,Wrigley Field,pending,,,,,,Scheduled,
824668,2026-06-17,Colorado Rockies,Chicago Cubs,Wrigley Field,pending,,,,,,Scheduled,
824669,2026-06-06,San Francisco Giants,Chicago Cubs,Wrigley Field,pending,,,,,,Scheduled,
824670,2026-06-07,San Francisco Giants,Chicago Cubs,Wrigley Field,pending,,,,,,Scheduled,
824673,2026-06-05,San Francisco Giants,Chicago Cubs,Wrigley Field,pending,,,,,,Delayed Start: Inclement Weather,
824746,2026-06-17,Toronto Blue Jays,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824748,2026-06-18,Toronto Blue Jays,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824749,2026-06-13,Texas Rangers,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824750,2026-06-16,Toronto Blue Jays,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824751,2026-06-14,Texas Rangers,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824752,2026-06-12,Texas Rangers,Boston Red Sox,Fenway Park,pending,,,,,,Scheduled,
824823,2026-06-14,San Diego Padres,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824826,2026-06-12,San Diego Padres,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824827,2026-06-11,Seattle Mariners,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824828,2026-06-13,San Diego Padres,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824829,2026-06-08,Seattle Mariners,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824830,2026-06-09,Seattle Mariners,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824831,2026-06-10,Seattle Mariners,Baltimore Orioles,Oriole Park at Camden Yards,pending,,,,,,Scheduled,
824911,2026-06-18,San Francisco Giants,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824912,2026-06-16,San Francisco Giants,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824913,2026-06-17,San Francisco Giants,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824914,2026-06-05,Pittsburgh Pirates,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824915,2026-06-06,Pittsburgh Pirates,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824916,2026-06-07,Pittsburgh Pirates,Atlanta Braves,Truist Park,pending,,,,,,Scheduled,
824989,2026-06-18,Los Angeles Angels,Athletics,Sutter Health Park,pending,,,,,,Scheduled,
824991,2026-06-16,Pittsburgh Pirates,Athletics,Sutter Health Park,pending,,,,,,Scheduled,
824992,2026-06-17,Pittsburgh Pirates,Athletics,Sutter Health Park,pending,,,,,,Scheduled,
824993,2026-06-15,Pittsburgh Pirates,Athletics,Sutter Health Park,pending,,,,,,Scheduled,
824994,2026-06-14,Colorado Rockies,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
824995,2026-06-13,Colorado Rockies,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
824996,2026-06-10,Milwaukee Brewers,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
824997,2026-06-12,Colorado Rockies,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
824998,2026-06-08,Milwaukee Brewers,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
824999,2026-06-09,Milwaukee Brewers,Athletics,Las Vegas Ballpark,pending,,,,,,Scheduled,
825070,2026-06-16,Los Angeles Angels,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
825071,2026-06-15,Los Angeles Angels,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
825072,2026-06-17,Los Angeles Angels,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
825073,2026-06-05,Washington Nationals,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
825074,2026-06-07,Washington Nationals,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
825075,2026-06-06,Washington Nationals,Arizona Diamondbacks,Chase Field,pending,,,,,,Scheduled,
